entry_num,dance_name,division,style,group_size,studio,time
114,Angel,Teen,Contemporary,Solo,Conservatory Of Dance Arts,2:20
115,Sakura,Teen,Contemporary,Solo,Revolution Dance Company,2:22
116,Soon,Teen,Contemporary,Solo,Lemoine Academy of Dance,2:25
117,Start Again,Teen,Contemporary,Solo,Revolution Dance Company,2:28
118,Energy,Teen,Jazz,Solo,Revolution Dance Company,2:38
119,Tango,Teen,Jazz,Solo,Jill Listi Dance Studio,2:40
120,Bette Davis Eyes,Teen,Jazz,Solo,Kelly's Studio Of Dance,2:43
121,Valerie,Teen,Jazz,Solo,"Dance Warehouse, Inc.",2:45
122,Man's World,Teen,Jazz,Solo,Northshore Academy of Dance,2:48
123,Paint It Black,Teen,Jazz,Solo,Revolution Dance Company,2:50
124,What I Was,Teen,Lyrical,Solo,Broadway South Made For Dance,2:53
125,Flowers,Teen,Lyrical,Solo,LA Dance Space,2:56
126,What The World,Teen,Lyrical,Solo,"Dance Warehouse, Needs Now Inc.",2:59
127,Can't Help Falling,Teen,Lyrical,Solo,Jill Listi Dance In Love Studio,3:02
128,You Are The,Teen,Lyrical,Solo,LA Dance Space Reason,3:04
129,Sunrise,Teen,Lyrical,Solo,Jill Listi Dance Studio,3:06
130,La Vie En Rose,Teen,Tap,Solo,Revolution Dance Company,3:08
131,Walkin On,Teen,Tap,Solo,Revolution Dance Company,3:11
132,What a,Teen,Tap,Solo,Revolution Dance Wonderful World Company,3:14
133,That Man,Teen,,Solo,Pembo Cieutat Theatre Academy of Dance,3:17
134,Play Dead,Teen,Open,Solo,elite dance force,3:19
135,That's Life,Teen,Open,Solo,"Dance Connection Center, LLC",3:22
136,You Don't Own,Teen,Contemporary,Duo/Trio,"Dance Connection Me Center, LLC",3:24
137,Truth,Teen,Lyrical,Duo/Trio,"Dance Connection Center, LLC",3:27
138,Roses,Teen,Lyrical,Duo/Trio,LA Dance Space,3:30
139,Beat It,Teen,Tap,Duo/Trio,Revolution Dance Company,3:33
140,Summer Holiday,Teen,Open,Duo/Trio,Pembo Cieutat Academy of Dance,3:36
141,Balancing Act,Teen,Open,Duo/Trio,RAVE Dance Connection LLC,3:38
142,Solitude,Teen,Open,Duo/Trio,elite dance force,3:41
143,On Your Side,Teen,Open,Duo/Trio,Broadway South Dance,3:44
144,Trouble,Teen,,Duo/Trio,LA Dance Space Theatre,3:47
145,Keep You Safe,Teen,Lyrical,Duo/Trio,LA Dance Space COMPETITION DINNER BREAK: 45 Minutes - Set for Senior Age Division,3:50
146,Slowly,Senior,Contemporary,Solo,Lemoine Academy of Dance,4:38
147,Something,Senior,Contemporary,Solo,Lemoine Academy of Dance,4:40
148,Back To The,Senior,Contemporary,Solo,Sheffield School of Start the Dance,4:43
149,Stupid,Senior,Contemporary,Solo,elite dance force,4:46
150,In The Corner,Senior,Contemporary,Solo,Conservatory Of Dance Arts,4:48
151,The End Of Love,Senior,Contemporary,Solo,LA Dance Space,4:51
152,Timshel,Senior,Contemporary,Solo,Northshore Academy of Dance,4:53
153,Solid Ground,Senior,Contemporary,Solo,Northshore Academy of Dance,4:56
154,Violence,Senior,Contemporary,Solo,"Dance Warehouse, Inc.",4:59
155,Cellophane,Senior,Contemporary,Solo,Revolution Dance Company,5:01
156,Ode To Love,Senior,Contemporary,Solo,Revolution Dance Lost Company,5:04
